timestamp,datetime,firmware_version,humidity,temperature,pressure,voc,pm2.5_cf_1
1751871966,2025-07-07T01:06:06-06:00,7.02,51,63,896.48,,4.0
1751872087,2025-07-07T01:08:07-06:00,7.02,52,63,896.47,,3.5
1751872207,2025-07-07T01:10:07-06:00,7.02,51,64,896.46,,3.6
1751872327,2025-07-07T01:12:07-06:00,7.02,52,64,896.51,,3.6
1751872447,2025-07-07T01:14:07-06:00,7.02,52,63,896.54,,3.5
1751872567,2025-07-07T01:16:07-06:00,7.02,51,63,896.54,,3.5
1751872687,2025-07-07T01:18:07-06:00,7.02,52,63,896.6,,3.7
1751872807,2025-07-07T01:20:07-06:00,7.02,53,63,896.56,,3.3
1751872927,2025-07-07T01:22:07-06:00,7.02,53,63,896.54,,3.5
1751873047,2025-07-07T01:24:07-06:00,7.02,53,63,896.57,,3.8
1751873167,2025-07-07T01:26:07-06:00,7.02,54,63,896.58,,3.4
1751873287,2025-07-07T01:28:07-06:00,7.02,54,63,896.59,,3.1
1751873407,2025-07-07T01:30:07-06:00,7.02,53,63,896.61,,4.0
1751873527,2025-07-07T01:32:07-06:00,7.02,53,63,896.55,,4.4
1751873647,2025-07-07T01:34:07-06:00,7.02,54,63,896.61,,3.5
1751873767,2025-07-07T01:36:07-06:00,7.02,54,63,896.59,,3.5
1751873887,2025-07-07T01:38:07-06:00,7.02,54,62,896.66,,3.4
1751874007,2025-07-07T01:40:07-06:00,7.02,54,62,896.65,,3.0
1751874127,2025-07-07T01:42:07-06:00,7.02,54,62,896.68,,3.5
1751874247,2025-07-07T01:44:07-06:00,7.02,54,62,896.67,,3.7
1751874367,2025-07-07T01:46:07-06:00,7.02,54,62,896.67,,3.2
1751874487,2025-07-07T01:48:07-06:00,7.02,55,61,896.64,,3.6
1751874607,2025-07-07T01:50:07-06:00,7.02,55,61,896.67,,3.5
1751874727,2025-07-07T01:52:07-06:00,7.02,55,61,896.64,,3.6
1751874847,2025-07-07T01:54:07-06:00,7.02,55,61,896.64,,3.4
1751874967,2025-07-07T01:56:07-06:00,7.02,54,62,896.65,,3.3
1751875087,2025-07-07T01:58:07-06:00,7.02,53,61,896.63,,3.8
1751875207,2025-07-07T02:00:07-06:00,7.02,54,61,896.61,,2.9
1751875327,2025-07-07T02:02:07-06:00,7.02,54,61,896.61,,3.7
1751875447,2025-07-07T02:04:07-06:00,7.02,53,61,896.58,,3.9
1751875567,2025-07-07T02:06:07-06:00,7.02,54,61,896.55,,3.9
1751875687,2025-07-07T02:08:07-06:00,7.02,53,61,896.52,,3.5
1751875808,2025-07-07T02:10:08-06:00,7.02,53,61,896.51,,4.2
1751875927,2025-07-07T02:12:07-06:00,7.02,53,61,896.53,,4.2
1751876047,2025-07-07T02:14:07-06:00,7.02,53,61,896.52,,4.1
1751876168,2025-07-07T02:16:08-06:00,7.02,53,61,896.5,,4.3
1751876287,2025-07-07T02:18:07-06:00,7.02,53,61,896.56,,4.4
1751876407,2025-07-07T02:20:07-06:00,7.02,52,61,896.56,,3.9
1751876528,2025-07-07T02:22:08-06:00,7.02,52,62,896.54,,4.0
1751876647,2025-07-07T02:24:07-06:00,7.02,53,62,896.59,,3.9
1751876767,2025-07-07T02:26:07-06:00,7.02,52,62,896.58,,3.7
1751876887,2025-07-07T02:28:07-06:00,7.02,52,62,896.61,,4.0
1751877008,2025-07-07T02:30:08-06:00,7.02,53,62,896.63,,3.4
