timestamp,datetime,firmware_version,humidity,temperature,pressure,voc,pm2.5_cf_1
1751718337,2025-07-05T06:25:37-06:00,7.02,65,62,912.84,,8.4
1751718457,2025-07-05T06:27:37-06:00,7.02,65,62,912.91,,8.3
1751718614,2025-07-05T06:30:14-06:00,7.02,65,62,912.98,,8.3
1751718697,2025-07-05T06:31:37-06:00,7.02,65,62,912.98,,8.0
1751718817,2025-07-05T06:33:37-06:00,7.02,65,62,913.0,,8.6
1751718937,2025-07-05T06:35:37-06:00,7.02,64,62,912.75,,7.8
1751719057,2025-07-05T06:37:37-06:00,7.02,64,62,913.01,,7.3
1751719177,2025-07-05T06:39:37-06:00,7.02,64,62,913.01,,7.9
1751719297,2025-07-05T06:41:37-06:00,7.02,64,62,913.02,,8.4
1751719417,2025-07-05T06:43:37-06:00,7.02,64,62,913.0,,7.9
1751719574,2025-07-05T06:46:14-06:00,7.02,64,62,912.95,,8.2
1751719657,2025-07-05T06:47:37-06:00,7.02,64,62,912.98,,8.2
1751719777,2025-07-05T06:49:37-06:00,7.02,64,62,913.01,,7.9
1751719897,2025-07-05T06:51:37-06:00,7.02,64,62,913.01,,7.8
1751720017,2025-07-05T06:53:37-06:00,7.02,65,62,913.07,,8.3
1751720137,2025-07-05T06:55:37-06:00,7.02,66,61,913.08,,7.8
1751720257,2025-07-05T06:57:37-06:00,7.02,66,62,913.05,,8.2
1751720378,2025-07-05T06:59:38-06:00,7.02,66,62,913.1,,7.5
1751720534,2025-07-05T07:02:14-06:00,7.02,66,62,913.07,,7.9
1751720617,2025-07-05T07:03:37-06:00,7.02,65,62,913.09,,8.2
1751720737,2025-07-05T07:05:37-06:00,7.02,65,62,913.12,,8.4
1751720857,2025-07-05T07:07:37-06:00,7.02,65,62,913.12,,8.2
1751720977,2025-07-05T07:09:37-06:00,7.02,65,63,913.17,,9.1
1751721097,2025-07-05T07:11:37-06:00,7.02,65,63,913.17,,9.6
1751721217,2025-07-05T07:13:37-06:00,7.02,65,63,913.23,,9.4
1751721337,2025-07-05T07:15:37-06:00,7.02,64,63,913.25,,10.7
1751721494,2025-07-05T07:18:14-06:00,7.02,64,63,913.3,,16.0
1751721577,2025-07-05T07:19:37-06:00,7.02,64,63,913.25,,12.9
1751721697,2025-07-05T07:21:37-06:00,7.02,64,63,913.29,,12.9
1751721817,2025-07-05T07:23:37-06:00,7.02,64,63,913.03,,13.5
1751721937,2025-07-05T07:25:37-06:00,7.02,63,63,913.3,,11.8
1751722057,2025-07-05T07:27:37-06:00,7.02,63,63,913.34,,11.3
1751722177,2025-07-05T07:29:37-06:00,7.02,63,63,913.35,,10.3
1751722297,2025-07-05T07:31:37-06:00,7.02,64,63,913.33,,12.0
1751722454,2025-07-05T07:34:14-06:00,7.02,64,62,913.42,,12.6
1751722537,2025-07-05T07:35:37-06:00,7.02,64,63,913.45,,11.0
1751722657,2025-07-05T07:37:37-06:00,7.02,64,62,912.69,,9.7
1751722777,2025-07-05T07:39:37-06:00,7.02,64,63,913.4,,9.1
1751722897,2025-07-05T07:41:37-06:00,7.02,64,63,913.42,,8.4
1751723017,2025-07-05T07:43:37-06:00,7.02,64,63,913.43,,8.7
1751723137,2025-07-05T07:45:37-06:00,7.02,64,63,913.12,,8.4
1751723257,2025-07-05T07:47:37-06:00,7.02,64,63,913.45,,7.9
1751723390,2025-07-05T07:49:50-06:00,7.02,64,63,913.46,,7.5
1751723497,2025-07-05T07:51:37-06:00,7.02,64,63,913.48,,8.4
1751723617,2025-07-05T07:53:37-06:00,7.02,64,63,913.52,,8.3
